PID: 15036, Name: svchost.exe, Status: running
PID: 15088, Name: chrome.exe, Status: running
PID: 16528, Name: svchost.exe, Status: running
PID: 16592, Name: WSHelper.exe, Status: running
PID: 17148, Name: python.exe, Status: running
PID: 17300, Name: FMAPP.exe, Status: running
PID: 17400, Name: svchost.exe, Status: running
PID: 17852, Name: GitHubDesktop.exe, Status: running
PID: 18472, Name: conhost.exe, Status: running
PID: 18620, Name: ShellExperienceHost.exe, Status: running
PID: 18704, Name: igfxEM.exe, Status: running
PID: 18960, Name: RuntimeBroker.exe, Status: running
PID: 19112, Name: MoUsoCoreWorker.exe, Status: running
PID: 19196, Name: chrome.exe, Status: running
PID: 19888, Name: GitHubDesktop.exe, Status: running
PID: 20156, Name: chrome.exe, Status: running
PID: 20212, Name: Code.exe, Status: running
PID: 20920, Name: svchost.exe, Status: running
PID: 20944, Name: StartMenuExperienceHost.exe, Status: running
PID: 21104, Name: RAVBg64.exe, Status: running
PID: 21732, Name: chrome.exe, Status: running
PID: 21812, Name: svchost.exe, Status: running
PID: 21996, Name: chrome.exe, Status: running
PID: 22012, Name: svchost.exe, Status: running
PID: 22072, Name: smartscreen.exe, Status: running
PID: 22168, Name: dllhost.exe, Status: running
PID: 22436, Name: conhost.exe, Status: running
PID: 22824, Name: UniKeyNT.exe, Status: running
PID: 22940, Name: PowerMgr.exe, Status: running
PID: 23256, Name: winlogon.exe, Status: running
PID: 23328, Name: chrome.exe, Status: running
PID: 23516, Name: ngrok.exe, Status: running
PID: 23556, Name: msedgewebview2.exe, Status: running
PID: 23864, Name: chrome.exe, Status: running
PID: 24216, Name: chrome.exe, Status: running
PID: 24308, Name: GitHubDesktop.exe, Status: running
PID: 24404, Name: chrome.exe, Status: running
PID: 24580, Name: svchost.exe, Status: running
PID: 24884, Name: SearchHost.exe, Status: stopped
PID: 25376, Name: chrome.exe, Status: running
PID: 25684, Name: svchost.exe, Status: running
PID: 25780, Name: svchost.exe, Status: running
PID: 25784, Name: msedgewebview2.exe, Status: running
PID: 25792, Name: ctfmon.exe, Status: running
PID: 25828, Name: conhost.exe, Status: running
PID: 26060, Name: svchost.exe, Status: running
PID: 26180, Name: chrome.exe, Status: running
PID: 26208, Name: chrome.exe, Status: running
PID: 26700, Name: GitHubDesktop.exe, Status: running
PID: 26808, Name: explorer.exe, Status: running
PID: 26864, Name: SecurityHealthSystray.exe, Status: running
PID: 27312, Name: dwm.exe, Status: running
PID: 27764, Name: chrome.exe, Status: running
PID: 28116, Name: conhost.exe, Status: running
PID: 28340, Name: csrss.exe, Status: running
PID: 28732, Name: SynLenovoHelper.exe, Status: running
PID: 28772, Name: svchost.exe, Status: running
PID: 29104, Name: Code.exe, Status: running
PID: 29348, Name: Code.exe, Status: running
PID: 29464, Name: chrome.exe, Status: running
PID: 29648, Name: RuntimeBroker.exe, Status: running
PID: 30064, Name: chrome.exe, Status: running
PID: 30248, Name: LockApp.exe, Status: stopped
PID: 30300, Name: msedgewebview2.exe, Status: running
PID: 30828, Name: WsToastNotification.exe, Status: running
PID: 31028, Name: Code.exe, Status: running
PID: 31032, Name: TextInputHost.exe, Status: running
PID: 31244, Name: conhost.exe, Status: running
PID: 31324, Name: audiodg.exe, Status: running
PID: 31520, Name: RAVBg64.exe, Status: running
PID: 31628, Name: svchost.exe, Status: running
PID: 31916, Name: ngrok.exe, Status: running
PID: 32356, Name: SynTPEnh.exe, Status: running
PID: 32604, Name: RuntimeBroker.exe, Status: running
PID: 32620, Name: chrome.exe, Status: running
PID: 32828, Name: igfxHK.exe, Status: running
PID: 32988, Name: TabTip.exe, Status: running
PID: 33068, Name: sihost.exe, Status: running
PID: 33336, Name: svchost.exe, Status: running
PID: 33860, Name: svchost.exe, Status: running
PID: 34052, Name: chrome.exe, Status: running
PID: 34624, Name: Code.exe, Status: running
PID: 34648, Name: GameBarFTServer.exe, Status: running
PID: 34704, Name: chrome.exe, Status: running
PID: 34712, Name: msedgewebview2.exe, Status: running
PID: 35008, Name: chrome.exe, Status: running
PID: 35388, Name: chrome.exe, Status: running
PID: 35808, Name: chrome.exe, Status: running
